index	trace	layers	seed	attack	frac	name
98	chain	5	2	drop	0.1	atk_chain_L5_s2_drop10
99	chain	5	2	drop	0.2	atk_chain_L5_s2_drop20
100	chain	5	2	drop	0.3	atk_chain_L5_s2_drop30
101	chain	5	2	drop	0.4	atk_chain_L5_s2_drop40
102	march	5	2	cmix	0.3	atk_march_L5_s2_cmix30
103	chain	4	2	drop	0.0	atk_chain_L4_s2_ctl
104	chain	4	2	drop	0.1	atk_chain_L4_s2_drop10
105	chain	4	2	drop	0.2	atk_chain_L4_s2_drop20
106	chain	4	2	drop	0.3	atk_chain_L4_s2_drop30
107	chain	4	2	drop	0.4	atk_chain_L4_s2_drop40
108	march	3	2	cmix	0.4	atk_march_L3_s2_cmix40
109	march	4	2	cmix	0.3	atk_march_L4_s2_cmix30
110	march	6	2	cmix	0.2	atk_march_L6_s2_cmix20
111	chain	3	2	drop	0.0	atk_chain_L3_s2_ctl
112	chain	3	2	drop	0.1	atk_chain_L3_s2_drop10
113	chain	3	2	drop	0.2	atk_chain_L3_s2_drop20
114	chain	3	2	drop	0.3	atk_chain_L3_s2_drop30
115	chain	3	2	drop	0.4	atk_chain_L3_s2_drop40
116	march	5	2	cmix	0.2	atk_march_L5_s2_cmix20
117	march	3	2	cmix	0.3	atk_march_L3_s2_cmix30
118	march	4	2	cmix	0.2	atk_march_L4_s2_cmix20
119	march	3	2	cmix	0.2	atk_march_L3_s2_cmix20
120	march	6	2	cmix	0.1	atk_march_L6_s2_cmix10
121	march	5	2	cmix	0.1	atk_march_L5_s2_cmix10
122	march	4	2	cmix	0.1	atk_march_L4_s2_cmix10
123	march	3	2	cmix	0.1	atk_march_L3_s2_cmix10
124	march	6	2	drop	0.0	atk_march_L6_s2_ctl
125	march	6	2	drop	0.1	atk_march_L6_s2_drop10
126	march	6	2	drop	0.2	atk_march_L6_s2_drop20
127	march	6	2	drop	0.3	atk_march_L6_s2_drop30
128	march	6	2	drop	0.4	atk_march_L6_s2_drop40
129	march	5	2	drop	0.0	atk_march_L5_s2_ctl
130	march	5	2	drop	0.1	atk_march_L5_s2_drop10
131	march	5	2	drop	0.2	atk_march_L5_s2_drop20
132	march	5	2	drop	0.3	atk_march_L5_s2_drop30
133	march	5	2	drop	0.4	atk_march_L5_s2_drop40
134	march	4	2	drop	0.0	atk_march_L4_s2_ctl
135	march	4	2	drop	0.1	atk_march_L4_s2_drop10
136	march	4	2	drop	0.2	atk_march_L4_s2_drop20
137	march	4	2	drop	0.3	atk_march_L4_s2_drop30
138	march	4	2	drop	0.4	atk_march_L4_s2_drop40
139	march	3	2	drop	0.0	atk_march_L3_s2_ctl
140	march	3	2	drop	0.1	atk_march_L3_s2_drop10
141	march	3	2	drop	0.2	atk_march_L3_s2_drop20
142	march	3	2	drop	0.3	atk_march_L3_s2_drop30
143	march	3	2	drop	0.4	atk_march_L3_s2_drop40
144	chain	6	3	cmix	0.4	atk_chain_L6_s3_cmix40
145	chain	5	3	cmix	0.4	atk_chain_L5_s3_cmix40
146	chain	6	3	cmix	0.3	atk_chain_L6_s3_cmix30
147	chain	4	3	cmix	0.4	atk_chain_L4_s3_cmix40
148	chain	5	3	cmix	0.3	atk_chain_L5_s3_cmix30
149	chain	3	3	cmix	0.4	atk_chain_L3_s3_cmix40
150	chain	4	3	cmix	0.3	atk_chain_L4_s3_cmix30
151	chain	6	3	cmix	0.2	atk_chain_L6_s3_cmix20
152	chain	5	3	cmix	0.2	atk_chain_L5_s3_cmix20
153	chain	3	3	cmix	0.3	atk_chain_L3_s3_cmix30
154	chain	4	3	cmix	0.2	atk_chain_L4_s3_cmix20
155	chain	3	3	cmix	0.2	atk_chain_L3_s3_cmix20
156	chain	6	3	cmix	0.1	atk_chain_L6_s3_cmix10
157	chain	5	3	cmix	0.1	atk_chain_L5_s3_cmix10
158	chain	4	3	cmix	0.1	atk_chain_L4_s3_cmix10
159	chain	3	3	cmix	0.1	atk_chain_L3_s3_cmix10
160	march	6	3	cmix	0.4	atk_march_L6_s3_cmix40
161	march	5	3	cmix	0.4	atk_march_L5_s3_cmix40
162	chain	6	3	drop	0.0	atk_chain_L6_s3_ctl
163	chain	6	3	drop	0.1	atk_chain_L6_s3_drop10
164	chain	6	3	drop	0.2	atk_chain_L6_s3_drop20
165	chain	6	3	drop	0.3	atk_chain_L6_s3_drop30
166	chain	6	3	drop	0.4	atk_chain_L6_s3_drop40
167	march	6	3	cmix	0.3	atk_march_L6_s3_cmix30
168	march	4	3	cmix	0.4	atk_march_L4_s3_cmix40
169	chain	5	3	drop	0.0	atk_chain_L5_s3_ctl
170	chain	5	3	drop	0.1	atk_chain_L5_s3_drop10
171	chain	5	3	drop	0.2	atk_chain_L5_s3_drop20
172	chain	5	3	drop	0.3	atk_chain_L5_s3_drop30
173	chain	5	3	drop	0.4	atk_chain_L5_s3_drop40
174	march	5	3	cmix	0.3	atk_march_L5_s3_cmix30
175	chain	4	3	drop	0.0	atk_chain_L4_s3_ctl
176	chain	4	3	drop	0.1	atk_chain_L4_s3_drop10
177	chain	4	3	drop	0.2	atk_chain_L4_s3_drop20
178	chain	4	3	drop	0.3	atk_chain_L4_s3_drop30
179	chain	4	3	drop	0.4	atk_chain_L4_s3_drop40
180	march	3	3	cmix	0.4	atk_march_L3_s3_cmix40
181	march	4	3	cmix	0.3	atk_march_L4_s3_cmix30
182	march	6	3	cmix	0.2	atk_march_L6_s3_cmix20
183	chain	3	3	drop	0.0	atk_chain_L3_s3_ctl
184	chain	3	3	drop	0.1	atk_chain_L3_s3_drop10
185	chain	3	3	drop	0.2	atk_chain_L3_s3_drop20
186	chain	3	3	drop	0.3	atk_chain_L3_s3_drop30
187	chain	3	3	drop	0.4	atk_chain_L3_s3_drop40
188	march	5	3	cmix	0.2	atk_march_L5_s3_cmix20
189	march	3	3	cmix	0.3	atk_march_L3_s3_cmix30
190	march	4	3	cmix	0.2	atk_march_L4_s3_cmix20
191	march	3	3	cmix	0.2	atk_march_L3_s3_cmix20
192	march	6	3	cmix	0.1	atk_march_L6_s3_cmix10
193	march	5	3	cmix	0.1	atk_march_L5_s3_cmix10
194	march	4	3	cmix	0.1	atk_march_L4_s3_cmix10
195	march	3	3	cmix	0.1	atk_march_L3_s3_cmix10
196	march	6	3	drop	0.0	atk_march_L6_s3_ctl
197	march	6	3	drop	0.1	atk_march_L6_s3_drop10
198	march	6	3	drop	0.2	atk_march_L6_s3_drop20
199	march	6	3	drop	0.3	atk_march_L6_s3_drop30
200	march	6	3	drop	0.4	atk_march_L6_s3_drop40
201	march	5	3	drop	0.0	atk_march_L5_s3_ctl
202	march	5	3	drop	0.1	atk_march_L5_s3_drop10
203	march	5	3	drop	0.2	atk_march_L5_s3_drop20
204	march	5	3	drop	0.3	atk_march_L5_s3_drop30
205	march	5	3	drop	0.4	atk_march_L5_s3_drop40
206	march	4	3	drop	0.0	atk_march_L4_s3_ctl
207	march	4	3	drop	0.1	atk_march_L4_s3_drop10
208	march	4	3	drop	0.2	atk_march_L4_s3_drop20
209	march	4	3	drop	0.3	atk_march_L4_s3_drop30
210	march	4	3	drop	0.4	atk_march_L4_s3_drop40
211	march	3	3	drop	0.0	atk_march_L3_s3_ctl
212	march	3	3	drop	0.1	atk_march_L3_s3_drop10
213	march	3	3	drop	0.2	atk_march_L3_s3_drop20
214	march	3	3	drop	0.3	atk_march_L3_s3_drop30
215	march	3	3	drop	0.4	atk_march_L3_s3_drop40
