index	trace	layers	seed	attack	frac	name
79	gather	4	2	cmix	0.4	atk_gather_L4_s2_cmix40
80	blockade1	5	2	cmix	0.3	atk_blockade1_L5_s2_cmix30
81	gather	5	2	cmix	0.3	atk_gather_L5_s2_cmix30
82	blockade1	3	2	cmix	0.4	atk_blockade1_L3_s2_cmix40
83	gather	3	2	cmix	0.4	atk_gather_L3_s2_cmix40
84	blockade1	4	2	cmix	0.3	atk_blockade1_L4_s2_cmix30
85	gather	4	2	cmix	0.3	atk_gather_L4_s2_cmix30
86	blockade1	6	2	cmix	0.2	atk_blockade1_L6_s2_cmix20
87	gather	6	2	cmix	0.2	atk_gather_L6_s2_cmix20
88	blockade1	5	2	cmix	0.2	atk_blockade1_L5_s2_cmix20
89	gather	5	2	cmix	0.2	atk_gather_L5_s2_cmix20
90	blockade1	3	2	cmix	0.3	atk_blockade1_L3_s2_cmix30
91	gather	3	2	cmix	0.3	atk_gather_L3_s2_cmix30
92	blockade1	4	2	cmix	0.2	atk_blockade1_L4_s2_cmix20
93	gather	4	2	cmix	0.2	atk_gather_L4_s2_cmix20
94	blockade1	3	2	cmix	0.2	atk_blockade1_L3_s2_cmix20
95	gather	3	2	cmix	0.2	atk_gather_L3_s2_cmix20
96	blockade1	6	2	cmix	0.1	atk_blockade1_L6_s2_cmix10
97	gather	6	2	cmix	0.1	atk_gather_L6_s2_cmix10
98	blockade1	5	2	cmix	0.1	atk_blockade1_L5_s2_cmix10
99	gather	5	2	cmix	0.1	atk_gather_L5_s2_cmix10
100	blockade1	4	2	cmix	0.1	atk_blockade1_L4_s2_cmix10
101	gather	4	2	cmix	0.1	atk_gather_L4_s2_cmix10
102	blockade1	3	2	cmix	0.1	atk_blockade1_L3_s2_cmix10
103	gather	3	2	cmix	0.1	atk_gather_L3_s2_cmix10
104	blockade1	6	2	drop	0.0	atk_blockade1_L6_s2_ctl
105	blockade1	6	2	drop	0.1	atk_blockade1_L6_s2_drop10
106	blockade1	6	2	drop	0.2	atk_blockade1_L6_s2_drop20
107	blockade1	6	2	drop	0.3	atk_blockade1_L6_s2_drop30
108	blockade1	6	2	drop	0.4	atk_blockade1_L6_s2_drop40
109	gather	6	2	drop	0.0	atk_gather_L6_s2_ctl
110	gather	6	2	drop	0.1	atk_gather_L6_s2_drop10
111	gather	6	2	drop	0.2	atk_gather_L6_s2_drop20
112	gather	6	2	drop	0.3	atk_gather_L6_s2_drop30
113	gather	6	2	drop	0.4	atk_gather_L6_s2_drop40
114	blockade1	5	2	drop	0.0	atk_blockade1_L5_s2_ctl
115	blockade1	5	2	drop	0.1	atk_blockade1_L5_s2_drop10
116	blockade1	5	2	drop	0.2	atk_blockade1_L5_s2_drop20
117	blockade1	5	2	drop	0.3	atk_blockade1_L5_s2_drop30
118	blockade1	5	2	drop	0.4	atk_blockade1_L5_s2_drop40
119	gather	5	2	drop	0.0	atk_gather_L5_s2_ctl
120	gather	5	2	drop	0.1	atk_gather_L5_s2_drop10
121	gather	5	2	drop	0.2	atk_gather_L5_s2_drop20
122	gather	5	2	drop	0.3	atk_gather_L5_s2_drop30
123	gather	5	2	drop	0.4	atk_gather_L5_s2_drop40
124	blockade1	4	2	drop	0.0	atk_blockade1_L4_s2_ctl
125	blockade1	4	2	drop	0.1	atk_blockade1_L4_s2_drop10
126	blockade1	4	2	drop	0.2	atk_blockade1_L4_s2_drop20
127	blockade1	4	2	drop	0.3	atk_blockade1_L4_s2_drop30
128	blockade1	4	2	drop	0.4	atk_blockade1_L4_s2_drop40
129	gather	4	2	drop	0.0	atk_gather_L4_s2_ctl
130	gather	4	2	drop	0.1	atk_gather_L4_s2_drop10
131	gather	4	2	drop	0.2	atk_gather_L4_s2_drop20
132	gather	4	2	drop	0.3	atk_gather_L4_s2_drop30
133	gather	4	2	drop	0.4	atk_gather_L4_s2_drop40
134	blockade1	3	2	drop	0.0	atk_blockade1_L3_s2_ctl
135	blockade1	3	2	drop	0.1	atk_blockade1_L3_s2_drop10
136	blockade1	3	2	drop	0.2	atk_blockade1_L3_s2_drop20
137	blockade1	3	2	drop	0.3	atk_blockade1_L3_s2_drop30
138	blockade1	3	2	drop	0.4	atk_blockade1_L3_s2_drop40
139	gather	3	2	drop	0.0	atk_gather_L3_s2_ctl
140	gather	3	2	drop	0.1	atk_gather_L3_s2_drop10
141	gather	3	2	drop	0.2	atk_gather_L3_s2_drop20
142	gather	3	2	drop	0.3	atk_gather_L3_s2_drop30
143	gather	3	2	drop	0.4	atk_gather_L3_s2_drop40
144	blockade1	6	3	cmix	0.4	atk_blockade1_L6_s3_cmix40
145	gather	6	3	cmix	0.4	atk_gather_L6_s3_cmix40
146	blockade1	5	3	cmix	0.4	atk_blockade1_L5_s3_cmix40
147	gather	5	3	cmix	0.4	atk_gather_L5_s3_cmix40
148	blockade1	6	3	cmix	0.3	atk_blockade1_L6_s3_cmix30
149	gather	6	3	cmix	0.3	atk_gather_L6_s3_cmix30
150	blockade1	4	3	cmix	0.4	atk_blockade1_L4_s3_cmix40
151	gather	4	3	cmix	0.4	atk_gather_L4_s3_cmix40
152	blockade1	5	3	cmix	0.3	atk_blockade1_L5_s3_cmix30
153	gather	5	3	cmix	0.3	atk_gather_L5_s3_cmix30
154	blockade1	3	3	cmix	0.4	atk_blockade1_L3_s3_cmix40
155	gather	3	3	cmix	0.4	atk_gather_L3_s3_cmix40
156	blockade1	4	3	cmix	0.3	atk_blockade1_L4_s3_cmix30
157	gather	4	3	cmix	0.3	atk_gather_L4_s3_cmix30
158	blockade1	6	3	cmix	0.2	atk_blockade1_L6_s3_cmix20
159	gather	6	3	cmix	0.2	atk_gather_L6_s3_cmix20
160	blockade1	5	3	cmix	0.2	atk_blockade1_L5_s3_cmix20
161	gather	5	3	cmix	0.2	atk_gather_L5_s3_cmix20
162	blockade1	3	3	cmix	0.3	atk_blockade1_L3_s3_cmix30
163	gather	3	3	cmix	0.3	atk_gather_L3_s3_cmix30
164	blockade1	4	3	cmix	0.2	atk_blockade1_L4_s3_cmix20
165	gather	4	3	cmix	0.2	atk_gather_L4_s3_cmix20
166	blockade1	3	3	cmix	0.2	atk_blockade1_L3_s3_cmix20
167	gather	3	3	cmix	0.2	atk_gather_L3_s3_cmix20
168	blockade1	6	3	cmix	0.1	atk_blockade1_L6_s3_cmix10
169	gather	6	3	cmix	0.1	atk_gather_L6_s3_cmix10
170	blockade1	5	3	cmix	0.1	atk_blockade1_L5_s3_cmix10
171	gather	5	3	cmix	0.1	atk_gather_L5_s3_cmix10
172	blockade1	4	3	cmix	0.1	atk_blockade1_L4_s3_cmix10
173	gather	4	3	cmix	0.1	atk_gather_L4_s3_cmix10
174	blockade1	3	3	cmix	0.1	atk_blockade1_L3_s3_cmix10
